date,close,open,high,low,volume
24/08/2017,37.05,37.15,37.45,36.9,326460
23/08/2017,37,37,37.1,36.7,551970
22/08/2017,36.9,37.5,37.5,36.9,547530
21/08/2017,37.4,37.5,37.6,37.3,257280
18/08/2017,37.5,37.3,37.8,37.15,720950
17/08/2017,37.3,37.5,37.55,37.15,521370
16/08/2017,37.5,37.3,37.55,37.25,388380
15/08/2017,37.3,37.6,37.7,37.3,466800
14/08/2017,37.65,37.45,37.8,37.45,363540
11/08/2017,37.45,37.45,37.55,37.3,580140
10/08/2017,37.7,37.55,37.9,37.45,1133390
09/08/2017,37.8,38.4,38.55,37.5,1227850
08/08/2017,38.4,38.05,38.95,38.05,1643470
07/08/2017,38.05,38.1,38.25,38,748690
04/08/2017,38.05,38.3,38.4,37.9,755620
03/08/2017,38.3,38.3,38.4,38.1,677010
02/08/2017,38.1,38.1,38.4,37.8,943280
01/08/2017,38.4,38,38.7,38,1710380
31/07/2017,37.75,37.5,37.9,37.5,1097910
28/07/2017,37.5,37.35,37.8,37.3,1246630
27/07/2017,37.35,37.4,37.55,37.35,661800
26/07/2017,37.4,37.45,37.6,37.2,1240450
25/07/2017,37.3,37.2,37.35,36.9,483370
24/07/2017,37.3,37,37.3,36.65,914230
21/07/2017,37,37.6,37.7,37,1058900
20/07/2017,37.45,37.5,37.6,37.1,1086130
19/07/2017,37.6,37.8,37.95,37.5,1170570
18/07/2017,37.75,37.6,38,37.55,1396110
17/07/2017,37.7,38.25,38.35,37.7,703340
14/07/2017,38.25,38.2,38.35,38.05,386280
13/07/2017,38.2,38.5,38.5,38,467540
12/07/2017,38,38.5,38.5,37.85,1299690
11/07/2017,38.3,38,38.3,37.6,1103920
10/07/2017,38.1,38.9,39.1,38,1364350
07/07/2017,38.7,39.5,39.65,38.7,1164990
06/07/2017,39.35,38.8,39.5,38.8,2378800
05/07/2017,38.85,39,39,38.45,799160
04/07/2017,38.7,39,39,38.5,819980
03/07/2017,38.9,38.5,39.15,38.4,1812960
30/06/2017,38.5,38.3,38.6,38.1,854400
29/06/2017,38.2,38.3,38.35,37.9,841580
28/06/2017,38.05,38.25,38.3,37.85,1400580
27/06/2017,38.25,38.8,38.85,38.25,1026510
26/06/2017,38.5,38.3,38.6,38.15,1214450
23/06/2017,38.1,38.05,38.2,37.75,1880570
22/06/2017,38.1,38.7,38.75,38.1,1355410
21/06/2017,38.65,39.3,39.35,38,2270290
20/06/2017,39.5,39.8,39.8,39.3,2278990
19/06/2017,39.7,39.85,40,39.4,1526720
16/06/2017,39.5,39.85,39.85,39.25,2708280
15/06/2017,39.5,39.2,39.6,39.05,2996650
14/06/2017,39.2,38.55,39.4,38.55,2818810
13/06/2017,38.55,38.05,38.65,38,986280
12/06/2017,38.35,38.4,38.45,37.95,971550
09/06/2017,38.4,38.1,38.6,37.9,1972850
08/06/2017,37.9,38.2,38.3,37.8,1634700
07/06/2017,38.3,38.7,38.85,38.2,2419330
06/06/2017,38.65,37.3,38.65,37.2,4750190
05/06/2017,37.2,36.4,37.3,36.35,1909000
02/06/2017,36.3,36.3,36.5,36.1,1088530
01/06/2017,36.3,36.4,36.65,36.2,972860
31/05/2017,36.2,36.7,36.7,35.8,1478930
30/05/2017,36.3,36.7,36.7,36.2,1368210
29/05/2017,36.4,37.1,37.4,36.4,1697170
26/05/2017,36.7,37.05,37.25,36.7,1241870
25/05/2017,37.1,37.8,37.85,37.1,1692550
24/05/2017,37.75,37.15,38.05,37.05,1579160
23/05/2017,37.2,37.5,37.7,37.2,1332510
22/05/2017,37.5,37.1,38.2,36.75,3432310
19/05/2017,36.75,36.4,36.75,36.3,1089810
18/05/2017,36.35,36.1,36.55,36.1,1050880
17/05/2017,36.2,36,36.35,36,1250660
16/05/2017,36.05,36.1,36.4,36,1005430
15/05/2017,36.3,36.4,36.5,36.15,1127830
12/05/2017,36.45,36.75,36.8,36.35,898130
11/05/2017,36.8,36.8,37,36.75,1216160
10/05/2017,36.75,36.45,37,36.45,1447800
09/05/2017,36.45,35.75,36.6,35.65,1633890
08/05/2017,35.75,36.1,36.3,35.7,863080
05/05/2017,36.1,36.3,36.3,35.9,783900
04/05/2017,36.3,35.5,36.6,35.4,2186490
03/05/2017,35.5,35.1,36,35.05,899880
28/04/2017,35.1,34.8,35.25,34.75,1522920
27/04/2017,34.85,35.2,35.3,34.7,2240170
26/04/2017,35.05,35.1,35.2,35,709260
25/04/2017,35.1,35.1,35.3,34.95,656130
24/04/2017,35.1,35.5,35.75,35.1,450210
21/04/2017,35.5,35.4,35.9,35.4,517030
20/04/2017,35.4,35.9,35.9,35.4,1002210
19/04/2017,35.9,35.8,36.1,35.7,571690
18/04/2017,35.85,35.5,35.85,35.4,534340
17/04/2017,35.5,36.35,36.45,35.5,1031640
14/04/2017,36.35,36.7,36.75,36,1028920
13/04/2017,36.75,36.65,37.15,36.65,771230
12/04/2017,36.8,37,37,36.65,925540
11/04/2017,36.9,36.7,37,36.7,494890
10/04/2017,36.7,36.9,37.1,36.7,701010
07/04/2017,36.8,36.6,36.9,36.6,746360
05/04/2017,36.85,36.8,37.3,36.8,620740
04/04/2017,36.8,36.5,37.1,36.45,1012810
03/04/2017,36.4,36.9,37.05,36.3,2231080
31/03/2017,36.9,37.2,37.4,36.9,1648790
30/03/2017,37.2,37.3,37.6,37.2,1000760
29/03/2017,37.3,37.25,37.5,37.15,1380040
28/03/2017,37.4,37.8,38.05,37.35,1950220
27/03/2017,37.8,38,38.4,37.75,1677100
24/03/2017,38,38.5,38.55,37.75,1411600
23/03/2017,38.25,37.7,38.5,37.6,1640470
22/03/2017,37.7,38,38.35,37.6,1941850
21/03/2017,38,37.9,38,37.6,975510
20/03/2017,37.55,37.4,37.9,37.4,1083060
17/03/2017,37,37.1,37.55,36.95,3101080
16/03/2017,37.1,37,37.25,36.95,574840
15/03/2017,36.95,37.25,37.25,36.95,561660
14/03/2017,37.05,37.05,37.4,37.05,502570
13/03/2017,37.05,37.1,37.4,37.05,885720
10/03/2017,37.5,37.9,38.2,37.35,596520
09/03/2017,37.8,37.95,38.4,37.8,1001970
08/03/2017,37.7,37.3,38.2,37.3,892080
07/03/2017,37.5,37.5,37.5,37.1,561990
06/03/2017,37.3,38,38,37.3,510190
03/03/2017,37.5,37.2,37.6,36.9,516470
02/03/2017,36.9,37.6,37.7,36.9,1147120
01/03/2017,37.2,37.4,37.6,37.2,753500
28/02/2017,37.4,38.2,38.2,37.4,703780
27/02/2017,38.2,37.2,38.35,37.2,902460
24/02/2017,37.45,37.8,37.85,37.3,785650
23/02/2017,37.6,37.9,38.2,37.55,1453770
22/02/2017,37.9,38.5,38.5,37.8,802090
21/02/2017,38.4,38,38.45,37.95,1076370
20/02/2017,37.95,38.5,38.5,37.9,1322360
17/02/2017,38.3,38.7,38.75,38.3,1220700
16/02/2017,38.6,39.2,39.55,38.5,1359740
15/02/2017,39,38.85,39.3,38.6,1419820
14/02/2017,38.7,38.85,39.1,38.5,1325510
13/02/2017,38.85,39.3,39.3,38.7,1490330
10/02/2017,39.3,39.65,39.65,39.3,1754030
09/02/2017,39.7,39.85,39.9,39.5,1203520
08/02/2017,39.75,39.4,39.8,39.1,1792740
07/02/2017,39.25,38.8,39.25,38.75,1527190
06/02/2017,38.7,38.7,38.9,38.4,1288900
03/02/2017,38.7,39.5,39.5,38.7,1546040
02/02/2017,39.45,39.6,39.6,38.9,1368580
25/01/2017,39.3,38.9,39.3,38.4,1352580
24/01/2017,38.6,38.05,38.6,38,899030
23/01/2017,38.1,38.35,38.35,37.95,717890
20/01/2017,38,38.2,38.5,38,908930
19/01/2017,38,38.4,38.5,38,521040
18/01/2017,38.3,38.75,39.15,38.3,1143460
17/01/2017,38.95,37.5,39.15,37.5,2340000
16/01/2017,37.35,37.5,37.8,37.05,641920
13/01/2017,37.45,37.6,38.3,37.45,1164660
12/01/2017,37.9,38.4,38.5,37.8,1863070
11/01/2017,38.45,38.4,38.75,38.25,1498220
10/01/2017,38.4,38.4,38.65,38.35,1234210
09/01/2017,38.7,38.2,38.95,38.1,2379510
06/01/2017,37.9,37.2,38.4,37.1,2495910
05/01/2017,37.15,36.9,37.3,36.85,855250
04/01/2017,37,37.5,37.6,36.8,1339740
03/01/2017,37.25,35.6,37.5,35.6,2018750
30/12/2016,35.45,35.45,35.7,35.4,565850
29/12/2016,35.45,35.9,35.9,35.4,482410
28/12/2016,35.6,36.1,36.1,35.6,647070
27/12/2016,36,36.2,36.4,36,821630
26/12/2016,36.1,35.65,36.2,35.6,1005930
23/12/2016,35.6,34.95,35.6,34.85,985440
22/12/2016,34.9,35.1,35.1,34.85,422940
21/12/2016,34.95,34.9,35.2,34.7,314930
20/12/2016,34.95,35.3,35.3,34.85,449350
19/12/2016,35.15,35.1,35.3,35,847210
16/12/2016,35.1,35,35.1,34.7,1269760
15/12/2016,35,34.8,35.3,34.5,540870
14/12/2016,34.8,34.25,34.85,34.25,500040
13/12/2016,34.4,34.9,34.9,34.25,775830
12/12/2016,34.9,34.6,35,34.6,557230
09/12/2016,35.05,34.8,35.15,34.8,566840
08/12/2016,35,34.4,35.45,34.2,677500
07/12/2016,34.4,34.15,34.4,34.15,779510
06/12/2016,34.15,34.95,34.95,34,1338320
05/12/2016,34.9,35.1,35.15,34.9,548780
02/12/2016,35.3,35.2,35.35,35.1,751530
01/12/2016,35.25,35.5,35.5,35.2,866550
30/11/2016,35.2,34.6,35.2,34.4,2063550
29/11/2016,35,35.3,35.5,34.8,1322100
28/11/2016,35.5,35.7,35.7,35.35,1062520
25/11/2016,35.8,36,36.1,35.7,689900
24/11/2016,36,36.1,36.35,35.9,632950
23/11/2016,36.3,36.1,36.45,36,938330
22/11/2016,36,35.7,36,35.65,623270
21/11/2016,35.7,35.55,35.8,35.5,592840
18/11/2016,35.55,35.5,35.65,35.45,628230
17/11/2016,35.65,35.8,35.8,35.35,737730
16/11/2016,35.8,35.8,35.9,35.6,455210
15/11/2016,35.8,35.75,36.25,35.75,278870
14/11/2016,35.8,36.25,36.25,35.75,745100
11/11/2016,36.25,36.5,36.8,36.05,898610
10/11/2016,36.4,36.4,36.6,36.35,792150
09/11/2016,36,36.3,36.3,35,1690880
08/11/2016,36.4,36.4,36.45,36,1088300
07/11/2016,36.25,35.1,36.3,35.05,1085380
04/11/2016,35,35.2,35.2,34.9,613830
03/11/2016,35,35.15,35.25,34.75,984650
02/11/2016,35.4,35.8,35.95,35.4,508170
01/11/2016,35.9,35.8,36.2,35.7,519580
31/10/2016,36,36.3,36.45,36,672940
28/10/2016,36.3,36.3,36.4,35.9,435980
27/10/2016,36.3,35.3,36.3,35.3,844890
26/10/2016,35.3,35.75,35.8,35.3,694100
25/10/2016,35.75,36.1,36.1,35.4,1336590
24/10/2016,36.1,36.8,37,36.1,682740
21/10/2016,36.7,36.7,37,36.6,775760
20/10/2016,36.7,36.8,37,36.7,590370
19/10/2016,36.7,36.8,37.2,36.6,960210
18/10/2016,36.45,36.4,36.9,36.1,943960
17/10/2016,36.4,37.2,37.2,36.4,1573680
14/10/2016,37.2,37.3,37.7,37.2,840790
13/10/2016,37.3,37.7,37.7,37.1,587930
12/10/2016,37.6,37.8,37.95,37.45,532610
11/10/2016,37.8,37.7,37.8,36.6,2070950
10/10/2016,37.5,37.95,38.2,37,1014570
07/10/2016,37.95,38.45,38.65,37.8,1316880
06/10/2016,38.35,38.2,38.65,38.2,1173090
05/10/2016,38.2,38.5,38.6,38.15,931670
04/10/2016,37.9,37.9,38.6,37.8,1653180
03/10/2016,37.9,38.3,38.6,37.7,1293590
30/09/2016,38.3,38.3,38.8,38,1402860
29/09/2016,38.3,39,39.15,38,1749200
28/09/2016,39,38.8,39.2,38.55,1753620
27/09/2016,38.6,37.6,38.65,37.4,2049090
26/09/2016,37.6,37.35,37.95,37.05,1147450
23/09/2016,37.35,37.5,37.65,37.2,836780
22/09/2016,37.5,37.8,38.3,37.45,1593200
21/09/2016,37.45,37,37.6,37,1739860
20/09/2016,37.45,36.7,37.6,36.3,1203310
19/09/2016,36.65,35.7,36.85,35.7,1527320
16/09/2016,35,36,36.1,35,7265480
15/09/2016,36,36.8,37.1,36,717270
14/09/2016,36.5,35.55,37.4,35.55,1555400
13/09/2016,36,37.5,37.5,36,2161880
12/09/2016,37.45,38.6,38.6,37,1033010
09/09/2016,38.7,38,39.1,37.8,3353710
08/09/2016,50.5,51,51,50,1899730
07/09/2016,50.5,51,52,50,1582570
06/09/2016,50.5,51,51.5,50,1844160
05/09/2016,50.5,52.5,52.5,49.8,4191860
01/09/2016,52.5,54.5,55,51.5,3427730
31/08/2016,54,55.5,56.5,53.5,2593570
30/08/2016,55.5,56.5,57,55,1550890
29/08/2016,57.5,59.5,60.5,57.5,1324350
26/08/2016,57.5,56,57.5,55.5,1821780
25/08/2016,54,54,54.5,53.5,453540
24/08/2016,54,53.5,54.5,53.5,275230
23/08/2016,53,53,54,52.5,559330
22/08/2016,53.5,55,55,53.5,466900
19/08/2016,53.5,53,54.5,53,250570
18/08/2016,53,54,55,53,577820
17/08/2016,53,54,54,52,635370
16/08/2016,54,54,55,53.5,513280
15/08/2016,54.5,53.5,55,53.5,165580
12/08/2016,54.5,55.5,56,53.5,331030
11/08/2016,56,53.5,56,53.5,737430
10/08/2016,53.5,52.5,54,52.5,310040
09/08/2016,53,52,53,51.5,181050
08/08/2016,52,51.5,52,50.5,348760
05/08/2016,51,52.5,52.5,50.5,327970
04/08/2016,52,51,54,50.5,537660
03/08/2016,50.5,51,51.5,49.5,324230
02/08/2016,51.5,53,53,51,634560
01/08/2016,53,54,54,53,365040
29/07/2016,54,54.5,55,53.5,225610
28/07/2016,55,54.5,55,53.5,91390
27/07/2016,54.5,52.5,54.5,52.5,402240
26/07/2016,53,53,54,52,268770
25/07/2016,53,52,53.5,51.5,318900
22/07/2016,52,55,55.5,52,886600
21/07/2016,55.5,55,55.5,53,657360
20/07/2016,55,56.5,56.5,54,422540
19/07/2016,56,56,57,55,559050
18/07/2016,55.5,53.5,56,53,736570
15/07/2016,54,56,57,54,850920
14/07/2016,56,58,58.5,56,921830
13/07/2016,57.5,54,57.5,54,1442560
12/07/2016,54,52,54,52,725030
11/07/2016,52,51.5,53.5,51,1538540
08/07/2016,51,51,52.5,50,834180
07/07/2016,51,50.5,51,49.8,714940
06/07/2016,50,50,51.5,49.9,592020
05/07/2016,50.5,49.4,52,49.4,1658790
04/07/2016,49.2,47.5,49.4,47.5,1206430
01/07/2016,47.5,47.3,47.8,47,523850
30/06/2016,47.3,47.1,47.5,47,478490
29/06/2016,47.3,46.6,47.4,46.6,544530
28/06/2016,46.4,45.8,46.8,45.8,403030
27/06/2016,46.2,46.4,46.4,45.4,341850
24/06/2016,46.8,47.9,48,44.7,827980
23/06/2016,48,46.9,48,46.8,688340
22/06/2016,46.8,47,47.1,46.5,483280
21/06/2016,47,46.9,47.1,46.8,527750
20/06/2016,46.9,47.1,47.3,46.3,622260
17/06/2016,47.1,47.3,47.7,47.1,946910
16/06/2016,47.7,47.9,48.1,47.6,627180
15/06/2016,47.8,48.2,48.2,47.7,603140
14/06/2016,48.3,48.1,48.6,47.8,789760
13/06/2016,48.4,48.5,48.9,48.3,1201150
10/06/2016,48.5,48.1,49.1,48.1,885040
09/06/2016,48.1,47.9,48.3,47.7,401410
08/06/2016,47.9,48.1,48.6,47.8,912800
07/06/2016,48.1,48,48.3,47.7,435960
06/06/2016,47.8,47.1,48.5,47.1,783790
03/06/2016,47.3,47,47.5,47,440430
02/06/2016,47.1,46.8,47.3,46.6,290780
01/06/2016,46.9,46.5,47,46.5,370980
31/05/2016,46.7,46.9,47.5,46.6,490340
30/05/2016,46.8,45.7,46.8,45.4,535160
27/05/2016,45.3,45.4,45.6,44.8,591480
26/05/2016,45.3,46,46.3,45.3,722940
25/05/2016,46,46.5,46.7,46,272480
24/05/2016,45.9,46.4,46.5,45.5,757630
23/05/2016,46.1,47.3,47.8,46.1,701070
20/05/2016,47.4,48.6,48.8,47.2,1038420
19/05/2016,48.1,49,49,48.1,402860
18/05/2016,49,48.3,49.8,48.2,1259090
17/05/2016,48.3,48.2,48.8,47.9,663200
16/05/2016,48.3,47.4,48.3,47.2,377280
13/05/2016,47.6,48,48.3,47,679240
12/05/2016,48,49,49.3,48,488750
11/05/2016,49,48.6,49.2,48.3,713460
10/05/2016,48.6,48,48.6,47.6,544750
09/05/2016,48,48.6,49.3,48,831230
06/05/2016,48.6,47.4,48.8,47.2,1525690
05/05/2016,47.1,46.5,47.8,46.3,1076200
04/05/2016,46.1,45.8,46.7,45.2,747740
29/04/2016,46,45.6,46.8,45.6,726380
28/04/2016,46.2,46,46.8,45.7,693290
27/04/2016,46,47.2,47.5,45.9,1194570
26/04/2016,47.2,45.5,47.2,45.5,835300
25/04/2016,45.9,45.9,46.8,45.9,1300050
22/04/2016,45.7,42.9,45.8,42.9,2478140
21/04/2016,42.9,42.8,43.2,42.6,818280
20/04/2016,42.8,42.5,42.8,42.1,769750
19/04/2016,42.4,42.6,43.3,42.2,983900
15/04/2016,42.5,42.5,43.5,42.3,1187790
14/04/2016,42.3,41.9,42.5,41.8,774160
13/04/2016,41.9,42.3,42.4,41.8,633990
12/04/2016,42.1,41.6,42.6,41,970780
11/04/2016,41.6,41.4,42,40.9,985640
08/04/2016,41.4,41.5,41.7,41.3,653640
07/04/2016,41.7,42.2,42.2,41.1,594270
06/04/2016,42,41,42,40.9,920280
05/04/2016,41,40.9,41.4,40.7,610190
04/04/2016,40.9,41.2,41.3,40.5,439520
01/04/2016,40.9,41,41.4,40.8,554870
31/03/2016,41,42,42.2,41,937910
30/03/2016,42.1,41.6,42.3,41.6,444490
29/03/2016,42,42.9,42.9,42,325890
28/03/2016,42.8,42.9,43,42.6,533900
25/03/2016,42.8,42,42.8,41.6,1381530
24/03/2016,42.1,42.9,43,42,825250
23/03/2016,42.9,43.3,43.3,42.8,645700
22/03/2016,43.3,43,43.3,42.8,592130
21/03/2016,42.9,43.3,43.9,42.8,1862820
18/03/2016,42.5,42.6,42.8,42.2,3546350
17/03/2016,42.7,43.5,43.7,42.7,1074970
16/03/2016,43.2,42.1,43.5,42.1,1864950
15/03/2016,42,41.5,42.1,41.5,1294120
14/03/2016,41.7,41.7,41.7,41.3,807110
11/03/2016,41.6,41.8,41.9,41.5,510750
10/03/2016,41.6,41.5,41.7,41,643780
09/03/2016,41.4,41.7,41.9,41.3,469530
08/03/2016,41.6,41.8,42,41.4,775770
07/03/2016,41.8,42,42.2,41.7,567700
04/03/2016,41.8,41.6,42.5,41.5,681190
03/03/2016,41.6,41.9,42.1,41.5,464550
02/03/2016,41.7,41.1,41.9,41,647420
01/03/2016,40.7,41,41.5,40.7,849900
29/02/2016,41,41.8,42,41,887030
26/02/2016,42,42,42,41.3,493160
25/02/2016,41.8,42.5,43,41.6,1236220
24/02/2016,42.3,41,43,40.7,1653800
23/02/2016,41,40.7,41.6,40.7,1130660
22/02/2016,40.4,40.1,40.5,40,653090
19/02/2016,40.1,40.6,40.6,40.1,473670
18/02/2016,40.3,40,40.9,39.9,735780
17/02/2016,39.8,40.3,40.6,39.8,827530
16/02/2016,40.3,40.1,40.8,40.1,390050
15/02/2016,40.3,39.8,40.6,39.4,800790
05/02/2016,40.1,39.6,40.4,39.6,268300
04/02/2016,40,40,40.6,40,286750
03/02/2016,39.6,40,40,39.3,802180
02/02/2016,40.4,40.4,40.8,40.3,603810
01/02/2016,40.7,41.4,41.5,40.7,223320
29/01/2016,41.4,40.5,41.4,40.3,1019250
28/01/2016,40.5,40.3,40.8,40.3,562170
27/01/2016,40.5,41.3,41.3,40.5,582060
26/01/2016,40.6,40.5,41.3,40.3,656340
25/01/2016,41.7,40,41.9,40,1367810
22/01/2016,39.6,40,40.1,38.6,777540
21/01/2016,39.4,39.5,40,39.1,654450
20/01/2016,40,40,41,39.5,733790
19/01/2016,40.3,38.6,40.4,38.6,771340
18/01/2016,38.6,39.5,40,38,1614080
15/01/2016,40.6,41.8,42,40.6,880150
14/01/2016,41.8,41.8,42.2,41.5,641380
13/01/2016,42.3,42.8,42.9,42.3,448800
12/01/2016,42.7,42,42.7,42,481040
11/01/2016,41.9,42.2,42.4,41.8,742390
08/01/2016,42.2,42.3,42.6,41.7,676340
07/01/2016,42.5,42.8,42.9,42,935460
06/01/2016,43,42.5,43.2,42.5,699490
05/01/2016,42.5,42.9,43.4,42.4,1133260
04/01/2016,43.2,43.8,44,42.6,761750
